Название;Ссылка;Информация;Изображение
Кофеобжарочное производство, школа бариста, сеть кофе-шопов.;https://www.napartner.ru/s/bonsantcoffee/;Размер инвестиций: 1 600 000 р.Условия: 40 %Срок окупаемости: 18 мес. Пищевое Россия, Уфа;https://www.napartner.ru/images/startup/5b6d561b6623762f61760a3df9163fcd.jpg
Тротуарная плитка светящаяся без электричества;https://www.napartner.ru/startup/15052;Размер инвестиций: 6 500 000 р.Условия: 25 %Срок окупаемости: 12 мес. Строительное Россия, Павловский Посад;https://www.napartner.ru/images/startup/e98a1f18f329678cf4850fe35e3b251b.jpg
Youtube канал с ЗD мультконтентом;https://www.napartner.ru/startup/15043;Размер инвестиций: 2 000 000 р.Условия: 20 %Срок окупаемости: 12 мес. E-commerce;https://www.napartner.ru/images/startup/851b991fbcc6f290412230c5f1e8b399.png
Helium Aromo Dock;https://www.napartner.ru/s/helium/;Размер инвестиций: 3 500 000 р.Условия: 15 %Срок окупаемости: 12 мес. Железо / Гаджеты Россия, Москва;https://www.napartner.ru/images/startup/1bce4f378bcc145f9bde0591e268b591.png
"Детский центр и фитнес-клуб ""МАМАрада""";https://www.napartner.ru/s/mamarada51/;Размер инвестиций: 4 000 000 р.Условия: 50 %Срок окупаемости: 24 мес. Дошкольное и школьное образование Россия, Мурманск;https://www.napartner.ru/images/startup/fc62220f44c432011640fdf4f03215ca.jpg
"Доставка комплексных обедов "" Время Есть""";https://www.napartner.ru/startup/15038;Размер инвестиций: 1 470 000 р.Условия: 60 %Срок окупаемости: 6 мес. Пищевое Россия, Москва;https://www.napartner.ru/images/startup/0cb48805bb8fd823c77470af72556bf1.png
InsighTech;https://www.napartner.ru/startup/15034;Размер инвестиций: 7 200 000 р.Условия: 40 %Срок окупаемости: 18 мес. Софт Россия, Ульяновск;https://www.napartner.ru/images/startup/2b3678c6b8fa5e26b5497ef4592cbd5a.png
DOMTODAY.RU;https://www.napartner.ru/s/domtoday/;Размер инвестиций: 1 000 000 р.Условия: 20 %Срок окупаемости: 24 мес. Веб-приложения Россия, Москва;https://www.napartner.ru/images/startup/6f5d35fb17bdf8c7fbf7e69539988ba6.jpg
Наборы для мягких окон;https://www.napartner.ru/s/oknadlyadachi/;Размер инвестиций: 10 000 000 р.Условия: 40 %Срок окупаемости: 24 мес. Строительное Россия, Тула;https://www.napartner.ru/images/startup/85caf3d29b3227ec1ba17fe8bf5a6d36.jpg
Реструктуризация действующего магазина сантехники в Евпатории;https://www.napartner.ru/startup/15020;Размер инвестиций: 1 500 000 р.Условия: 50 %Срок окупаемости: 8 мес. Товары для домашнего интерьера, хобби и творчества Россия;https://www.napartner.ru/images/startup/13541aa024beacf5085036840390b5e7.jpg
Голосовой робот АРИНА;https://www.napartner.ru/s/robot_arina/;Размер инвестиций: 40 396 773 р.Условия: 40 %Срок окупаемости: 27 мес. SaaS Россия, Омск;https://www.napartner.ru/images/startup/102398a0bc80efe97ce24ec3b49ba26c.png
ищу инвестиции в молочное скотоводство;https://www.napartner.ru/startup/15006;Размер инвестиций: 5 000 000 р.Условия: 75 %Срок окупаемости: 24 мес. Пищевое Россия, Сарапул;https://www.napartner.ru/images/startup/2fd198bb7811099bb65063aed63e8f68.jpg
Территория доступного отопления;https://www.napartner.ru/s/gasdv/;Размер инвестиций: 24 500 000 р.Условия: 30 %Срок окупаемости: 60 мес. Бытовые услуги Россия, Хабаровск;https://www.napartner.ru/images/startup/3c80c24b83cfbf761298e382f0e94e2d.jpg
Производство и продажа паркета, деревянных стеновых панелей, модульных лестниц;https://www.napartner.ru/startup/14980;Размер инвестиций: 60 000 000 р.Условия: 50 %Срок окупаемости: 24 мес. Строительное;https://www.napartner.ru/images/startup/e591a09513c2eed9d742b3528f51b426.jpg
Агрегатор-классификатор предложений б/у запчастей - Moscowpart.ru;https://www.napartner.ru/s/moscowpart/;Размер инвестиций: 1 000 000 р.Условия: 60 %Срок окупаемости: 12 мес. Автомобильный / Железнодорожный Россия, Москва;https://www.napartner.ru/images/startup/3c28c3fe27412aa5707980789e7022d9.jpg
Кальян с цветным дымом;https://www.napartner.ru/startup/14957;Размер инвестиций: 850 000 р.Условия: 50 %Срок окупаемости: 12 мес. Рестораны/Клубы Россия, Москва;https://www.napartner.ru/images/startup/54d1352cc35e6929477a5c243dc43e23.jpg
DLT Производство конструкционных плитных материалов из древесины;https://www.napartner.ru/startup/14933;Размер инвестиций: 9 500 000 р.Условия: 30 %Срок окупаемости: 12 мес. Строительное Россия;https://www.napartner.ru/images/startup/f1e2d3dad49102a3f4dce7e30b027d34.png
13RULES самая крупная сеть крафтовых баров в России.;https://www.napartner.ru/s/13rules/;Размер инвестиций: 20 000 000 р.Условия: 25 %Срок окупаемости: 20 мес. Рестораны/Клубы Россия, Москва;https://www.napartner.ru/images/startup/764c1cd271ffc44a855d983ee00f012f.jpg
«Game Zone»Киберспортивный клуб;https://www.napartner.ru/startup/14929;Размер инвестиций: 3 150 000 р.Условия: 30 %Срок окупаемости: 17 мес. Игорный бизнес Россия, Петрозаводск;https://www.napartner.ru/images/startup/28fb6f007e4e3e20ebd7bb478ac13069.jpg
индивидуальная  компактная барокамера;https://www.napartner.ru/startup/14928;Размер инвестиций: 2 000 000 р.Условия: 50 %Срок окупаемости: 6 мес. Салон красоты Россия, Москва;https://www.napartner.ru/images/startup/12126b98d40281a685276cbb82c6f57d.jpg
Coolcamps агрегатор активных и авторских туров;https://www.napartner.ru/s/Coolcamps/;Размер инвестиций: 2 500 000 р.Условия: 49 %Срок окупаемости: 24 мес. Поисковые сервисы Россия;https://www.napartner.ru/images/startup/d3b729b58dce58b49c98669f80957155.jpg
Индукторный синхронный генератор для альтернативной энергетики и транспорта;https://www.napartner.ru/s/neltech/;Размер инвестиций: 6 000 000 р.Условия: 40 %Срок окупаемости: 15 мес. Автомобильный / Железнодорожный Россия, Жуковский;https://www.napartner.ru/images/startup/dd05c701002c32d81dd86f0f24f6cbff.png
Производство полимерной теплоизоляции с аэрогелем;https://www.napartner.ru/startup/14919;Размер инвестиций: 3 690 000 р.Условия: 9 %Срок окупаемости: 36 мес. Строительное Россия, Москва;https://www.napartner.ru/images/startup/359e88aad41cd9ced03fa30aba18f6b9.jpg
DealCity ДилСити - городской кэшбэк сервис;https://www.napartner.ru/s/dealcity/;Размер инвестиций: 50 000 $Условия: 10 %Срок окупаемости: 24 мес. Мобильные сервисы Россия, Москва;https://www.napartner.ru/images/startup/ba56ae994a930486f4ba496c79709557.jpg
Производство деталей для мотоциклов BMW и продажи по всему миру;https://www.napartner.ru/s/mgsmoto/;Размер инвестиций: 20 000 000 р.Условия: 30 %Срок окупаемости: 12 мес. Автозапчасти Россия, Москва;https://www.napartner.ru/images/startup/3e5947786028e18b17db837a2f8db682.jpg
Финский независимый телеканал на русском языке YTV Oy;https://www.napartner.ru/startup/14907;Размер инвестиций: 11 000 000 р.Условия: 45 %Срок окупаемости: 24 мес. Телевидение Финляндия, Хельсинки;https://www.napartner.ru/images/startup/22494ad1af485c7e74e462ee503ae2fc.jpg
ПлюрифонКейс;https://www.napartner.ru/s/pcase/;Размер инвестиций: 2 000 000 р.Условия: 20 %Срок окупаемости: 24 мес. Спортивные товары Россия, Москва;https://www.napartner.ru/images/startup/e543a2db2acc12113bb7b017bf4780cb.png
Магазин глины для керамики - Golem;https://www.napartner.ru/startup/14899;Размер инвестиций: 1 500 000 р.Условия: 20 %Срок окупаемости: 6 мес. Сырье Россия, Москва;https://www.napartner.ru/images/startup/96387114990a061589d6a9f62547d62d.jpg
Like Travel;https://www.napartner.ru/s/ltravel/;Размер инвестиций: 350 000 р.Условия: 20 %Срок окупаемости: 20 мес. Туризм Россия, Москва;https://www.napartner.ru/images/startup/c1481119dbb44c8068b07fb7d505d563.png
On-line сервис для работы с недвижимостью iRealty;https://www.napartner.ru/startup/14890;Размер инвестиций: 3 000 000 р.Условия: 35 %Срок окупаемости: 24 мес. Софт Россия, Москва;https://www.napartner.ru/images/startup/44e95dcae1513fa84bb1dddbbf940eb2.png
Действующий бренд женской одежды MONRET;https://www.napartner.ru/s/monret/;Размер инвестиций: 4 500 000 р.Условия: 20 %Срок окупаемости: 12 мес. Одежда и обувь Россия, Москва;https://www.napartner.ru/images/startup/b6763bc0380503cb481238ad93674c62.png
"Чехлы(для руля) с подогревом премиум класса ""Легенда""";https://www.napartner.ru/s/ruli_legenda/;Размер инвестиций: 5 000 000 р.Условия: 80 %Срок окупаемости: 24 мес. Железо / Гаджеты Россия, Казань;https://www.napartner.ru/images/startup/33960c6741df5e46a4ab0d3c08a96a29.jpg
"ООО ""Московская брусчатка""";https://www.napartner.ru/startup/14871;Размер инвестиций: 7 000 000 р.Срок окупаемости: 9 мес. Сырье Россия, Москва;https://www.napartner.ru/images/startup/f3ddacc9effa11fe2be3e8fd31767e89.jpg
Сеть точек виртуальной реальности VRRoom;https://www.napartner.ru/s/vrroom/;Размер инвестиций: 10 500 000 р.Условия: 49 %Срок окупаемости: 24 мес. Entertainment-бизнес;https://www.napartner.ru/images/startup/a0fe8f2a93dc204f1c4dbf08b5a99d92.png
Контроллер для людей с одной рукой;https://www.napartner.ru/s/gypard/;Размер инвестиций: 100 000 $Условия: 20 %Срок окупаемости: 16 мес. Железо / Гаджеты Россия;https://www.napartner.ru/images/startup/b6cfde8fba03b53bf443fd96af1fe6d7.png
Мастерская вкуса;https://www.napartner.ru/startup/14847;Размер инвестиций: 1 500 000 р.Условия: 50 %Срок окупаемости: 24 мес. Продукты питания Россия, Москва;https://www.napartner.ru/images/startup/03a78589c2fa230ab4ce31f316850f40.jpg
ЭНЕРГОБОСС готовые решения для инженерных систем;https://www.napartner.ru/s/energoboss/;Размер инвестиций: 12 000 000 р.Условия: 15 %Срок окупаемости: 21 мес. Строительное Россия, Москва;https://www.napartner.ru/images/startup/9c74c7b273710474223397db980d593d.png
iBrat - магазин мобильной техники во Владимире и Коврове;https://www.napartner.ru/s/ibrat33/;Размер инвестиций: 3 000 000 р.Условия: 50 %Срок окупаемости: 15 мес. Компьютеры/оргтехника Россия, Владимир;https://www.napartner.ru/images/startup/c9a0ae2e3e84175dae84d8e3a81c8fc3.jpg
Действующий алкогольный завод.;https://www.napartner.ru/startup/14802;Размер инвестиций: 1 000 000 €Условия: 50 %Срок окупаемости: 24 мес. Пищевое Латвия, Даугавпилс;https://www.napartner.ru/images/startup/d0c0aaf2f5c2006424768bae693d3945.jpg
Изготовление металлоконструкций, грузоперевозки;https://www.napartner.ru/startup/14794;Размер инвестиций: 20 000 000 р.Условия: 35 %Срок окупаемости: 36 мес. Строительное Россия, Москва;https://www.napartner.ru/images/startup/514f8e7daee06c40aed2915674924386.jpg
"Театральная студия ""Открытое Море""";https://www.napartner.ru/s/otkmore/;Размер инвестиций: 1 000 000 р.Условия: 20 %Срок окупаемости: 24 мес. Дошкольное и школьное образование Россия, Москва;https://www.napartner.ru/images/startup/771b5b4aa7358c7464fa18ac2ae76b75.jpg
завод по переработке отходов;https://www.napartner.ru/s/mr/;Размер инвестиций: 50 000 000 р.Условия: 50 %Срок окупаемости: 24 мес. Химическая Россия, Москва;https://www.napartner.ru/images/startup/52e747a34db66fd117881b219c6d60ff.jpg
Сайт для хоккеистов SHAYBOO;https://www.napartner.ru/s/shayboo/;Размер инвестиций: 6 600 000 р.Условия: 10 %Срок окупаемости: 12 мес. Интернет-медиа Россия, Санкт-Петербург;https://www.napartner.ru/images/startup/3fc0001e9f882f3bffdc7d68e32df99c.png
Интернет-гипермаркет строительных и отделочных материалов оптом и в розницу;https://www.napartner.ru/startup/14761;Размер инвестиций: 6 000 000 р.Условия: 30 %Срок окупаемости: 12 мес. Товары для домашнего интерьера, хобби и творчества Россия, Новосибирск;https://www.napartner.ru/images/startup/5a5b8cbff853f262b88f5aa3e2950116.png
Экспорт аквариумных пресноводных рыб и растений для аквариума из Таиланда;https://www.napartner.ru/startup/14750;Размер инвестиций: 150 000 $Условия: 30 %Срок окупаемости: 24 мес. Животноводство Тайланд, Бангкок;https://www.napartner.ru/images/startup/e79f3ec6b8e321c9143a6d46c15cf698.jpg
The legendary way;https://www.napartner.ru/startup/14734;Размер инвестиций: 327 000 р.Условия: 28 %Срок окупаемости: 7 мес. Одежда и обувь Россия, Ижевск;https://www.napartner.ru/images/startup/8d3b2b2fec4136ea54dae40723952818.jpg
RobotsCity School / Школа Робот Сити;https://www.napartner.ru/s/robotscity/;Размер инвестиций: 3 000 000 р.Условия: 10 %Срок окупаемости: 6 мес. E-Learning Россия, Москва;https://www.napartner.ru/images/startup/46ea79a7b1a0928a1aa7bbd3e7483a8f.jpg
Онлайн платформа бронирования загородной недвижимости по всей России;https://www.napartner.ru/s/airrent/;Размер инвестиций: 5 000 000 р.Условия: 20 %Срок окупаемости: 12 мес. Веб-приложения Россия, Санкт-Петербург;https://www.napartner.ru/images/startup/f4c1c8f75d80479a3fab0fdd5f3becee.png
Онлайн доска объявлении для трудовых мигрантов;https://www.napartner.ru/startup/14711;Размер инвестиций: 800 000 р.Условия: 51 %Срок окупаемости: 12 мес. E-commerce Россия, Москва;https://www.napartner.ru/images/startup/0ea9b5b642fca99b4c8d7433fb47455f.jpg
"Инвестиционный проект ""Газ в каждый дом"" ООО ""Башавтономгаз-Юг""";https://www.napartner.ru/s/bashavtonomgaz/;Размер инвестиций: 32 500 000 р.Условия: 40 %Срок окупаемости: 60 мес. Оборудование Россия, Краснодар;https://www.napartner.ru/images/startup/70d3c4e1fd35c85fc4f48b04b7631059.jpg
"Многопользовательсткая интернет операционная бизнес система ""Кристалл""";https://www.napartner.ru/s/kristall/;Размер инвестиций: 50 000 000 р.Условия: 35 %Срок окупаемости: 24 мес. Фреймворки и CMS Россия;https://www.napartner.ru/images/startup/3e4f91349a9991dd19a05af32178cc0f.png
Программно-аппаратная система инклюзивного образования для общеобразовательных школ;https://www.napartner.ru/s/socrat/;Размер инвестиций: 1 000 000 р.Условия: 10 %Срок окупаемости: 12 мес. E-Learning Россия, Москва;https://www.napartner.ru/images/startup/a008d868be37a4292b10ce63fc1589e6.jpg
Винотека WIN-WIN;https://www.napartner.ru/startup/14671;Размер инвестиций: 10 000 000 р.Условия: 60 %Срок окупаемости: 18 мес. Продукты питания Россия, Екатеринбург;https://www.napartner.ru/images/startup/51c9287c080bcb50b84f1e7855e19f88.png
ЮВЕЛИРная студия SALIMOV`s;https://www.napartner.ru/s/salimov/;Размер инвестиций: 1 600 000 р.Срок окупаемости: 14 мес. Ювелирное Россия, Кумертау;https://www.napartner.ru/images/startup/7538328ed735448dc84a56bef27437d8.png
ДИВИЗИОН;https://www.napartner.ru/startup/14663;Размер инвестиций: 15 000 000 р.Условия: 15 %Срок окупаемости: 24 мес. Софт Россия, Москва;https://www.napartner.ru/images/startup/2aadc372ca2ef12ff34d6d17d22ee59f.jpg
Prospect;https://www.napartner.ru/s/prospect/;Размер инвестиций: 5 000 000 р.Условия: 30 %Срок окупаемости: 17 мес. E-Learning Россия, Москва;https://www.napartner.ru/images/startup/6c19bec7923159718ee2f11c3bfe61eb.jpg
Онлайн портал по подбору бьюти-мастеров;https://www.napartner.ru/startup/14652;Размер инвестиций: 10 000 000 р.Условия: 10 %Срок окупаемости: 12 мес. Мобильные сервисы Россия;https://www.napartner.ru/images/startup/ed53a18ee6ced6b06c5e96f3b4e22089.jpg
Научно-методический центр социо-территориального развития;https://www.napartner.ru/s/urbansite/;Размер инвестиций: 13 250 000 р.Условия: 50 %Срок окупаемости: 27 мес. Проектирование Россия, Москва;https://www.napartner.ru/images/startup/a1bee254f280857969c3e8449d261f1f.jpg
"Медиа галерея ""Лабиринт""";https://www.napartner.ru/s/Labyrinth/;Размер инвестиций: 4 000 000 р.Условия: 50 %Срок окупаемости: 6 мес. Entertainment-бизнес Россия, Омск;https://www.napartner.ru/images/startup/b944350bee8756ff0430b06ea6674c4e.jpg
Proftone- сервис по автоматизированной профориентации и профотбору. Новое поколение. B2C, B2B;https://www.napartner.ru/s/Proftone/;Размер инвестиций: 115 000 $Условия: 20 %Срок окупаемости: 12 мес. Мобильные сервисы Россия;https://www.napartner.ru/images/startup/0ec444b6118c81f44b4e63c741a6f9b4.png
WowMeGo;https://www.napartner.ru/s/wmg/;Размер инвестиций: 15 000 000 р.Условия: 25 %Срок окупаемости: 26 мес. Туризм Россия, Москва;https://www.napartner.ru/images/startup/7a9c63f6315f9e0a7e805c338ab78faa.png
Производство топлива промывочного малосернистого.  Аналог бензина.;https://www.napartner.ru/startup/14591;Размер инвестиций: 37 200 000 р.Условия: 20 %Срок окупаемости: 6 мес. Сырье Россия, Москва;https://www.napartner.ru/images/startup/428f86ef6a45809ab8949fbf4d72ea80.jpg
"Доля в действующем бизнесе, бренд женской одежды ""Bluebell Exclusive""";https://www.napartner.ru/s/blex/;Размер инвестиций: 8 000 000 р.Условия: 40 %Срок окупаемости: 18 мес. Одежда и обувь Россия, Краснодар;https://www.napartner.ru/images/startup/0ee6bb945c360af44c579482047d43b2.jpg
Корпоративная информационная система ECIS;https://www.napartner.ru/s/ITSC/;Размер инвестиций: 6 820 618 р.Условия: 20 %Срок окупаемости: 36 мес. Софт Россия, Москва;https://www.napartner.ru/images/startup/91d6bc402a144c0aa9f54bcc06feb047.png
DarkSide Burgers;https://www.napartner.ru/s/darkside/;Размер инвестиций: 3 000 000 р.Условия: 50 %Срок окупаемости: 20 мес. Рестораны/Клубы Россия, Москва;https://www.napartner.ru/images/startup/5bdb19635c357886aead90b67b569768.jpg
Unicore - Облачная операционная система управления бизнес-процессами;https://www.napartner.ru/s/unicore/;Размер инвестиций: 36 200 000 р.Условия: 15 %Срок окупаемости: 12 мес. SaaS Россия, Москва;https://www.napartner.ru/images/startup/2de8fbbffe633040019fb664eb758aad.png
Производство макаронных изделий сложной формы;https://www.napartner.ru/s/pekarev/;Размер инвестиций: 10 000 000 р.Срок окупаемости: 36 мес. Пищевое Россия, Омск;https://www.napartner.ru/images/startup/516e5f1153e709900516d84c92e11ee8.jpg
SAGOMA System;https://www.napartner.ru/s/sagoma/;Размер инвестиций: 3 600 000 р.Условия: 25 %Срок окупаемости: 6 мес. Проектирование Россия, Москва;https://www.napartner.ru/images/startup/84ccad7c2f48f9556e02b2c8e783db53.jpg
Производство силиконового герметика марки Strong Silicone для светопрозрачных конструкций;https://www.napartner.ru/startup/14522;Размер инвестиций: 5 000 000 р.Условия: 35 %Срок окупаемости: 18 мес. Химическая Россия, Челябинск;https://www.napartner.ru/images/startup/4e532aa5156a1cf5be456776d9fdb415.jpg
Организация завода по производству широкого спектра климатического оборудования;https://www.napartner.ru/startup/14520;Размер инвестиций: 328 405 000 р.Условия: 49 %Срок окупаемости: 30 мес. Машиностроение Россия, Иркутск;https://www.napartner.ru/images/startup/c3b6a120869d8b1ad5d89e2df1a461ce.png
EdaVoda;https://www.napartner.ru/s/edavoda/;Размер инвестиций: 650 000 $Условия: 50 %Срок окупаемости: 20 мес. E-commerce Казахстан, Алматы;https://www.napartner.ru/images/startup/81367e650f045300ff1421016546e02e.jpg
Система заказа и доставки из ресторанов в автомобиль PCUP;https://www.napartner.ru/startup/14515;Размер инвестиций: 25 000 000 р.Условия: 15 %Срок окупаемости: 40 мес. Мобильные сервисы Россия, Москва;https://www.napartner.ru/images/startup/e03c58e374dac51ecccff08d94192fc3.jpg
Производство уникальных корпоративных и ритуальных подарков;https://www.napartner.ru/s/heavenone/;Размер инвестиций: 70 000 000 р.Условия: 50 %Срок окупаемости: 12 мес. Ювелирное Гонконг;https://www.napartner.ru/images/startup/b066aedf175e8f7587f2c81e6da28e7a.jpg
Выездной шиномонтаж Запаскин;https://www.napartner.ru/s/zapaska24/;Размер инвестиций: 1 000 000 р.Срок окупаемости: 24 мес. Автосервис / автошкола Россия, Санкт-Петербург;https://www.napartner.ru/images/startup/0624e8d4fcc9dc2a6f4d4b5048df1b86.png
Производство спецтехники;https://www.napartner.ru/startup/14507;Размер инвестиций: 49 000 000 р.Условия: 70 %Срок окупаемости: 20 мес. Машиностроение Россия, Москва;https://www.napartner.ru/images/startup/d98814062477933a87426240e8b190ec.jpg
"школа классической хореографии ""Азбука Балета""";https://www.napartner.ru/s/ballet64/;Размер инвестиций: 1 500 000 р.Условия: 30 %Срок окупаемости: 24 мес. Бытовые услуги Россия, Саратов;https://www.napartner.ru/images/startup/44e2c67a462dcfaa71ecb16f74673b6c.png
Кальянная Black Work;https://www.napartner.ru/s/blackwokhookah/;Размер инвестиций: 700 000 р.Условия: 20 %Срок окупаемости: 15 мес. Рестораны/Клубы Россия, Санкт-Петербург;https://www.napartner.ru/images/startup/922907b33c3f8bd6d166d73bc535cfee.jpg
Инвестиции в металлургию (экспорт алюминиевых сплавов);https://www.napartner.ru/startup/14458;Размер инвестиций: 120 000 000 р.Срок окупаемости: 36 мес. Металлургическая Россия, Волгодонск;https://www.napartner.ru/images/startup/f9ccb7e0be35d28214ae509064bcf7f1.jpg
Маркетплейс строительных материалов SnabGuru;https://www.napartner.ru/s/snabguru/;Размер инвестиций: 6 500 000 р.Условия: 30 %Срок окупаемости: 36 мес. E-commerce;https://www.napartner.ru/images/startup/f9d06378b23652b88b626fab2a76787b.png
Производство Loft-мебели, декора из цельных спилов дерева с использованием плимерной заливки;https://www.napartner.ru/startup/14455;Размер инвестиций: 1 300 000 р.Условия: 30 %Срок окупаемости: 9 мес. Мебельное Россия, Ростов-на-Дону;https://www.napartner.ru/images/startup/b9b395eaa18a20bf6f27ec6885162ac9.jpg
Действующий сервис. Реставрационный центр премиум обуви и одежды;https://www.napartner.ru/startup/14453;Размер инвестиций: 4 000 000 р.Условия: 25 %Срок окупаемости: 13 мес. Бытовые услуги Россия, Москва;https://www.napartner.ru/images/startup/d6af6b30919dcf82a726862122d37235.jpg
Производство оригинальных изделий для активного отдыха из стеклопластика;https://www.napartner.ru/startup/14439;Размер инвестиций: 10 000 000 р.Условия: 70 %Срок окупаемости: 96 мес. Спортивные товары Россия, Ижевск;https://www.napartner.ru/images/startup/96a0c80cb754062a96d293098d8873eb.jpg
BREAK FREE;https://www.napartner.ru/s/breakfree/;Размер инвестиций: 6 000 000 р.Условия: 11 %Срок окупаемости: 24 мес. Тренинги Россия, Екатеринбург;https://www.napartner.ru/images/startup/818f9a77a48c5b9a5053fd314de0052e.png
Строительство газопровода для коттеджного поселка;https://www.napartner.ru/startup/14411;Размер инвестиций: 11 000 000 р.Условия: 35 %Срок окупаемости: 36 мес. Коммерческая Россия, Орел;https://www.napartner.ru/images/startup/6b41a99735cfa944ca9930cbf8d0a88d.png
ДСК Коловрат;https://www.napartner.ru/s/kolovrat/;Размер инвестиций: 350 000 000 р.Условия: 50 %Срок окупаемости: 36 мес. Девелопмент;https://www.napartner.ru/images/startup/2571c65799fe8a8da66cafc35ffefef5.jpg
Привлечение инвестиций поиск партнера производства одноразовой деревянной посуды из шпона;https://www.napartner.ru/startup/14405;Размер инвестиций: 20 000 000 р.Условия: 50 %Срок окупаемости: 24 мес. Пищевое Беларусь, Минск;https://www.napartner.ru/images/startup/1048169c7878808c35eaefac01abcec6.jpg
Производство Курток с Мехом с высокой прибылью;https://www.napartner.ru/s/Vashmexx/;Размер инвестиций: 6 500 000 р.Условия: 30 %Срок окупаемости: 10 мес. Одежда и обувь Россия, Москва;https://www.napartner.ru/images/startup/4ecbfa54a85dac3819412cec454f2160.jpg
Domoos;https://www.napartner.ru/s/Domoos/;Размер инвестиций: 10 000 000 р.Условия: 10 %Срок окупаемости: 24 мес. Реклама / мультимедиа Россия;https://www.napartner.ru/images/startup/f46f6d860e81ffd739fafd90f328a5c8.jpg
Мебельное производство в Оренбурге;https://www.napartner.ru/startup/14378;Размер инвестиций: 2 500 000 р.Условия: 30 %Срок окупаемости: 30 мес. Мебельное Россия, Оренбург;https://www.napartner.ru/images/startup/885e5ea9624b7756d656e3bf3cbdb820.jpg
Amperu.ru;https://www.napartner.ru/startup/14361;Размер инвестиций: 1 000 000 р.Условия: 25 %Срок окупаемости: 15 мес. Компьютеры/оргтехника Россия;https://www.napartner.ru/images/startup/c01ba758e668cc931f4f2738258ed519.png
ВсеСтулья.Ру;https://www.napartner.ru/s/vsestulya/;Размер инвестиций: 25 000 000 р.Условия: 20 %Срок окупаемости: 18 мес. Мебель Россия, Москва;https://www.napartner.ru/images/startup/f80110bbce42440cb0632bb3f36f507b.jpg
Профессиональный ресурс удаленной работы в сфере проектирования;https://www.napartner.ru/startup/14327;Размер инвестиций: 20 000 000 р.Условия: 25 %Срок окупаемости: 36 мес. Социальные сервисы Россия, Москва;https://www.napartner.ru/images/startup/0fd2a09e0f9e530bcd447b2559173906.png
ChaCha Russia;https://www.napartner.ru/s/chacha/;Размер инвестиций: 61 000 000 р.Условия: 49 %Срок окупаемости: 8 мес. Продукты питания Россия, Москва;https://www.napartner.ru/images/startup/69267d203cabbed7edbd56b63a397606.jpg
Дом ковки;https://www.napartner.ru/s/domkovki/;Размер инвестиций: 1 000 000 р.Условия: 20 %Срок окупаемости: 17 мес. Сырье;https://www.napartner.ru/images/startup/8a13b331b0e5d2f473b73951aae1310c.jpg
Go Go роллы и фаст-фуд;https://www.napartner.ru/s/gogo/;Размер инвестиций: 1 200 000 р.Условия: 50 %Срок окупаемости: 12 мес. Пищевое Россия, Саранск;https://www.napartner.ru/images/startup/e29b428089993330765917b66928820a.png
Wecheap-Sklad;https://www.napartner.ru/s/wecheapsklad/;Размер инвестиций: 5 000 000 р.Срок окупаемости: 12 мес. Коммерческая Россия, Санкт-Петербург;https://www.napartner.ru/images/startup/b78b597a08f4a6feed2fb9fc0d94fbf4.png
Реалити-шоу КРАСОТА НА МИЛЛИОН;https://www.napartner.ru/s/knm/;Размер инвестиций: 1 500 000 р.Условия: 70 %Срок окупаемости: 12 мес. Пластическая хирургия Россия, Москва;https://www.napartner.ru/images/startup/0223cb0395838c0bf19ea39f36044e42.png
Интернет-платформа по созданию подарочных наборов Podarkit;https://www.napartner.ru/startup/14280;Размер инвестиций: 10 000 000 р.Условия: 50 %Срок окупаемости: 12 мес. E-commerce Россия, Москва;https://www.napartner.ru/images/startup/b0a39c5933d545172b48ded407b2189d.jpg
Стрелковый центр г.Ростов-на-Дону под известным брендом;https://www.napartner.ru/s/scrostov/;Размер инвестиций: 62 500 000 р.Условия: 90 %Срок окупаемости: 36 мес. Рестораны/Клубы Россия, Ростов-на-Дону;https://www.napartner.ru/images/startup/3dd397513acbbdf92234229b49ca2883.jpg
Действующий бизнес с сетью франчайзи IL'kato доставка пиццы-роллы;https://www.napartner.ru/startup/14273;Размер инвестиций: 4 000 000 р.Условия: 20 %Срок окупаемости: 24 мес. Рестораны/Клубы Россия, Самара;https://www.napartner.ru/images/startup/37335b4a951b9e1d034ea818bc8f6b80.png
Интерактивный журнал «ЭРА ММА»;https://www.napartner.ru/s/eramma/;Размер инвестиций: 90 000 $Условия: 50 %Срок окупаемости: 8 мес. Интернет сми Россия;https://www.napartner.ru/images/startup/4d0bccff4e8eeaf0340c19b2eb633377.png
SPBMONITORING;https://www.napartner.ru/startup/14263;Размер инвестиций: 10 000 000 р.Условия: 70 %Срок окупаемости: 24 мес. Поисковые сервисы Россия, Санкт-Петербург;https://www.napartner.ru/images/startup/06111f33dc6056e6aa24159ed943a602.png
Animal Toys — это принципиально новый бизнес на рынке зоотоваров России;https://www.napartner.ru/startup/14235;Размер инвестиций: 15 000 000 р.Условия: 50 %Срок окупаемости: 36 мес. Товары для домашнего интерьера, хобби и творчества Россия, Москва;https://www.napartner.ru/images/startup/4a97980cc2fcc4b57616683ac10f8e07.jpg
